Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-11-22 12:43:13      |     954       |     dispatch                              |     Zend_Controller_Dispatcher_Standard     |     /oasis/administracao                                                            |     /var/www/oasis/library/Zend/Controller/Front.php                                |     Method "accordeonProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 08:57:41      |     954       |     dispatch                              |     Zend_Controller_Dispatcher_Standard     |     /oasis/administracao                                                            |     /var/www/oasis/library/Zend/Controller/Front.php                                |     Method "accordeonProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 08:57:42      |     954       |     dispatch                              |     Zend_Controller_Dispatcher_Standard     |     /oasis/administracao                                                            |     /var/www/oasis/library/Zend/Controller/Front.php                                |     Method "accordeonProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 14:45:09      |     954       |     dispatch                              |     Zend_Controller_Dispatcher_Standard     |     /oasis/acompanhamento-fiscalizacao                                              |     /var/www/oasis/library/Zend/Controller/Front.php                                |     Method "accordionProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 15:10:50      |     13        |     runApp                                |     Bootstrap                               |     /oasis/item-metrica/grid-projeto-legado                                         |     /var/www/oasis/public/index.php                                                 |     Action "gridProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 15:12:46      |     13        |     runApp                                |     Bootstrap                               |     /oasis/projeto-legado/grid-projeto-legado                                       |     /var/www/oasis/public/index.php                                                 |     Action "gridProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 15:13:36      |     13        |     runApp                                |     Bootstrap                               |     /oasis/projeto-legado/grid-projeto-legado                                       |     /var/www/oasis/public/index.php                                                 |     Action "gridProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 15:14:50      |     13        |     runApp                                |     Bootstrap                               |     /oasis/projeto-legado/grid-projeto-legado                                       |     /var/www/oasis/public/index.php                                                 |     Action "gridProjetoLegado" does not exist and was not trapped in __call()
2              |     2011-11-23 15:21:06      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/administracao                                                            |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[08P01]: <<Unknown error>>: 7 ERRO:  mensagem de ligação forneceu 0 parâmetros, mas comando preparado "pdo_stmt_0000002d" requer 1
2              |     2011-11-23 15:21:06      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/administracao                                                            |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[08P01]: <<Unknown error>>: 7 ERRO:  mensagem de ligação forneceu 0 parâmetros, mas comando preparado "pdo_stmt_0000002d" requer 1
2              |     2011-11-23 15:22:55      |     13        |     runApp                                |     Bootstrap                               |     /oasis/projeto-legado/grid-projeto-legado                                       |     /var/www/oasis/public/index.php                                                 |     Action "gridProjetoLegado" does not exist and was not trapped in __call()
