Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-06-24 11:23:11      |     6              |     Sem tabela                                        |     auth                                              |     ::1                                                |     hudson-Vostro                                      |     Acesso ao sistema
2              |     2011-06-24 11:25:46      |     9              |     b_menu                                            |     menu                                              |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: "b_menu"."cd_menu" = 106.000000
2              |     2011-06-24 11:27:57      |     8              |     b_menu                                            |     menu                                              |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_menu = 316
2              |     2011-06-24 11:28:21      |     8              |     a_profissional_menu                               |     objeto-perfil-profissional                        |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_objeto = 14 cd_profissional = 2 cd_menu = 316 
2              |     2011-06-24 11:28:47      |     6              |     Sem tabela                                        |     auth                                              |     ::1                                                |     hudson-Vostro                                      |     Acesso ao sistema
2              |     2011-06-24 11:29:31      |     8              |     b_subitem_inv_descri                              |     subitem-inv-descri                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 1 cd_subitem_inv_descri = 1 
2              |     2011-06-24 11:29:41      |     8              |     b_subitem_inv_descri                              |     subitem-inv-descri                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 1 cd_subitem_inv_descri = 2 
2              |     2011-06-24 11:29:55      |     8              |     b_subitem_inv_descri                              |     subitem-inv-descri                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 1 cd_subitem_inv_descri = 3 
2              |     2011-06-24 11:30:12      |     8              |     b_subitem_inv_descri                              |     subitem-inv-descri                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 1 cd_subitem_inv_descri = 4 
2              |     2011-06-24 11:31:06      |     9              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: "b_subitem_inventario"."cd_item_inventario" = 2.000000"b_subitem_inventario"."cd_subitem_inventario" = 5.000000
2              |     2011-06-24 11:31:35      |     9              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: "b_subitem_inventario"."cd_item_inventario" = 2.000000"b_subitem_inventario"."cd_subitem_inventario" = 3.000000
2              |     2011-06-24 11:32:03      |     9              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: "b_subitem_inventario"."cd_item_inventario" = 2.000000"b_subitem_inventario"."cd_subitem_inventario" = 4.000000
2              |     2011-06-24 11:32:19      |     8              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 8 
2              |     2011-06-24 11:32:34      |     8              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 9 
2              |     2011-06-24 11:32:48      |     8              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 10 
2              |     2011-06-24 11:33:06      |     8              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 11 
2              |     2011-06-24 11:33:29      |     8              |     b_subitem_inventario                              |     subitem-inventario                                |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_item_inventario = 2 cd_subitem_inventario = 12 
