Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-08-01 14:47:22      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-08-01 14:52:11      |     8              |     a_perfil_box_inicio                               |     perfil-box-inicio                                 |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil = 3 cd_box_inicio = 5 cd_objeto = 14 
2              |     2011-08-01 14:52:11      |     8              |     a_perfil_box_inicio                               |     perfil-box-inicio                                 |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil = 3 cd_box_inicio = 6 cd_objeto = 14 
2              |     2011-08-02 10:09:02      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-08-05 15:53:52      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-08-05 20:12:04      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-08-05 20:35:19      |     8              |     s_empresa                                         |     empresa                                           |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_empresa = 7
2              |     2011-08-05 20:36:16      |     8              |     s_contato_empresa                                 |     contato-empresa                                   |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contato_empresa = 8
2              |     2011-08-05 20:45:11      |     8              |     s_contrato                                        |     contrato                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contrato = 17
2              |     2011-08-05 20:46:54      |     8              |     b_area_atuacao_ti                                 |     area-atuacao-ti                                   |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_area_atuacao_ti = 9
2              |     2011-08-05 20:49:45      |     8              |     s_objeto_contrato                                 |     objeto-contrato                                   |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_objeto = 17
2              |     2011-08-05 20:53:34      |     8              |     s_projeto_previsto                                |     projeto-previsto                                  |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto_previsto = 289 cd_contrato = 17 
2              |     2011-08-05 20:54:09      |     8              |     a_contrato_definicao_metrica                      |     contrato-definicao-metrica                        |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contrato = 17 cd_definicao_metrica = 1 
2              |     2011-08-05 20:54:17      |     9              |     a_contrato_definicao_metrica                      |     contrato-definicao-metrica                        |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_contrato = 17 and cd_definicao_metrica = 1
2              |     2011-08-05 20:57:20      |     8              |     b_perfil_profissional                             |     perfil-profissional                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil_profissional = 31
2              |     2011-08-05 20:57:38      |     8              |     b_perfil_profissional                             |     perfil-profissional                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil_profissional = 32
2              |     2011-08-05 20:57:52      |     8              |     b_perfil_profissional                             |     perfil-profissional                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil_profissional = 33
2              |     2011-08-05 20:58:17      |     8              |     b_papel_profissional                              |     papel-profissional                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_papel_profissional = 25
2              |     2011-08-05 20:58:41      |     8              |     b_papel_profissional                              |     papel-profissional                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_papel_profissional = 26
2              |     2011-08-05 20:58:53      |     8              |     b_papel_profissional                              |     papel-profissional                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_papel_profissional = 27
2              |     2011-08-05 20:59:02      |     8              |     b_papel_profissional                              |     papel-profissional                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_papel_profissional = 28
2              |     2011-08-05 20:59:21      |     8              |     b_papel_profissional                              |     papel-profissional                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_papel_profissional = 29
2              |     2011-08-05 20:59:46      |     8              |     a_perfil_prof_papel_prof                          |     perfil-profissional-papel-profissional            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil_profissional = 31 cd_papel_profissional = 26 
2              |     2011-08-05 20:59:46      |     8              |     a_perfil_prof_papel_prof                          |     perfil-profissional-papel-profissional            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_perfil_profissional = 31 cd_papel_profissional = 25 
