Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
2              |     2011-07-05 09:28:50      |     1160      |     delete                                |     Zend_Db_Adapter_Abstract                |     /oasis/solicitacao-service-desk/excluir                                         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  atualização ou exclusão em tabela "s_solicitacao" viola restrição de chave estrangeira "fk_oasis_060" em "s_demanda" DETAIL:  Chave (ni_solicitacao,ni_ano_solicitacao,cd_objeto)=(8,2011,2) ainda é referenciada pela tabela "s_demanda".
2              |     2011-07-05 09:59:39      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/solicitacao-service-desk/pesquisa-item-inventariado-service-desk         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42P01]: Undefined table: 7 ERRO:  relação "oasis.KT_A_CONTRATO_ITEM_INVENTARIO" não existe LINE 1: ...NTRATO_ITEM_INVENTARIO"."cd_item_inventario" FROM "oasis"."K...                                                              ^
2              |     2011-07-05 10:03:32      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/solicitacao-service-desk/pesquisa-item-inventariado-service-desk         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42P01]: Undefined table: 7 ERRO:  relação "oasis.KT_A_CONTRATO_ITEM_INVENTARIO" não existe LINE 1: ...NTRATO_ITEM_INVENTARIO"."cd_item_inventario" FROM "oasis"."K...                                                              ^
2              |     2011-07-05 10:41:43      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/                                                                         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:41:48      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/auth/logout                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:41:53      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/auth/logout                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:41:55      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/auth/logout                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:42:53      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/auth/logout                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:42:59      |     845       |     _setupMetadata                        |     Zend_Db_Table_Abstract                  |     /oasis/                                                                         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     O nome do Servidor esta ínvalido                 
2              |     2011-07-05 10:44:55      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/solicitacao-service-desk/pesquisa-item-inventariado-service-desk         |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42P01]: Undefined table: 7 ERRO:  relação "oasis.KT_A_CONTRATO_ITEM_INVENTARIO" não existe LINE 1: ...NTRATO_ITEM_INVENTARIO"."cd_item_inventario" FROM "oasis"."K...                                                              ^
