Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
               |     2011-05-30 19:29:20      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
2              |     2011-05-30 19:54:32      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = null" não existe LINE 1: ...escri" WHERE (cd_item_inventario = null) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 09:41:06      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = null" não existe LINE 1: ...escri" WHERE (cd_item_inventario = null) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 10:07:02      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:11:15      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:15:39      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:23:54      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:25:42      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:37:43      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:43:49      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:44:49      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:49:11      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 10:49:46      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 11:07:59      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 11:11:03      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 11:11:35      |     13        |     runApp                                |     Bootstrap                               |     /oasis/subitem-inv-descri/monta-combo-subitem-inventario                        |     /var/www/oasis/public/index.php                                                 |     Action "montaComboSubitemInventario" does not exist and was not trapped in __call()
2              |     2011-05-31 11:36:50      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = 1" não existe LINE 1: ...v_descri" WHERE (cd_item_inventario = 2) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 11:43:30      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = 1" não existe LINE 1: ...v_descri" WHERE (cd_item_inventario = 2) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 12:02:49      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = 1" não existe LINE 1: ...v_descri" WHERE (cd_item_inventario = 2) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 12:07:45      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "cd_subitem_inventario = 1" não existe LINE 1: ...v_descri" WHERE (cd_item_inventario = 2) ORDER BY "cd_subite...                                                              ^
2              |     2011-05-31 13:19:43      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "undefined" não existe LINE 1: ...item_inventario = 1) AND (cd_subitem_inv_descri = undefined)...                                                              ^
