Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-10-04 08:44:28      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-04 15:04:28      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-05 07:57:33      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-05 07:58:13      |     8              |     s_solicitacao                                     |     solicitacao                                       |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: ni_solicitacao = 16 ni_ano_solicitacao = 2011 cd_objeto = 2 
2              |     2011-10-05 07:58:21      |     9              |     s_solicitacao                                     |     solicitacao-tipo-demanda                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 2 and ni_solicitacao = 16 and ni_ano_solicitacao = 2011
2              |     2011-10-05 07:58:54      |     8              |     s_demanda                                         |     demanda                                           |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_demanda = 11399
2              |     2011-10-05 07:59:00      |     8              |     a_demanda_profissional                            |     demanda                                           |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_demanda = 11399 
2              |     2011-10-05 07:59:01      |     8              |     a_demanda_prof_nivel_servico                      |     demanda                                           |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_demanda = 11399 cd_profissional = 2 cd_nivel_servico = 1 
2              |     2011-10-05 07:59:05      |     9              |     a_demanda_prof_nivel_servico                      |     encaminhar-solicitacao-tipo-demanda               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_demanda = 11399 cd_profissional = 2 cd_nivel_servico = 1 
2              |     2011-10-05 07:59:05      |     9              |     a_demanda_profissional                            |     encaminhar-solicitacao-tipo-demanda               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_demanda = 11399 cd_profissional = 2 
2              |     2011-10-05 07:59:19      |     9              |     a_demanda_prof_nivel_servico                      |     demanda-executor-demanda                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_demanda = 11399 cd_profissional = 2 cd_nivel_servico = 1 
2              |     2011-10-07 08:56:45      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-07 11:47:46      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-07 12:46:33      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-07 14:28:38      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-10 08:10:18      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-10 09:08:41      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-10 11:22:13      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-10 14:34:27      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-10 15:29:26      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-11 08:22:54      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-13 15:01:40      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-13 15:33:45      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 08:33:54      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 08:52:56      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 10:57:49      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 10:59:45      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 307.000000
2              |     2011-10-19 11:00:45      |     8              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_menu = 319
2              |     2011-10-19 11:02:45      |     8              |     a_profissional_menu                               |     objeto-perfil-profissional                        |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_objeto = 14 cd_profissional = 2 cd_menu = 319 
2              |     2011-10-19 11:02:58      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 11:05:54      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 13:38:58      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-19 14:05:02      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 319.000000
2              |     2011-10-19 15:18:29      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-20 10:06:53      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-20 10:18:19      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-20 12:55:36      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-10-21 08:22:59      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
