Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-08-05 16:16:07      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: "null" LINE 1: ...b_subitem_inv_descri" WHERE (cd_item_inventario = 'null') AN...                                                              ^
2              |     2011-08-05 21:50:12      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/produto-parcela/salvar-produto-parcela                                   |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  inserção ou atualização em tabela "s_produto_parcela" viola restrição de chave estrangeira "fk_oasis_022" DETAIL:  Chave (cd_parcela,cd_projeto,cd_proposta)=(0,258,1) não está presente na tabela "s_parcela".
2              |     2011-08-05 21:50:12      |     1366      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/produto-parcela/pesquisa-produto-parcela                                 |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42601]: Syntax error: 7 ERRO:  erro de sintaxe em ou próximo a ")" LINE 1: ...la".* FROM "oasis"."s_parcela" WHERE (cd_parcela = ) LIMIT 1                                                               ^
2              |     2011-08-08 09:02:49      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: "null" LINE 1: ...b_subitem_inv_descri" WHERE (cd_item_inventario = 'null') AN...                                                              ^
2              |     2011-08-08 09:44:29      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/subitem-inv-descri/grid-subitem-inv-descri                               |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: "null" LINE 1: ...b_subitem_inv_descri" WHERE (cd_item_inventario = 'null') AN...                                                              ^
2              |     2011-08-18 15:28:54      |     13        |     runApp                                |     Bootstrap                               |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/public/index.php                                                 |     Action "mediaNivelDeServico" does not exist and was not trapped in __call()
2              |     2011-08-18 15:52:38      |     324       |     fetchAll                              |     Zend_Db_Adapter_Abstract                |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/application/modules/relatorioDemanda/models/RelatorioDemanda.php |     SQLSTATE[HY000]: General error                    
2              |     2011-08-18 16:11:47      |     324       |     fetchAll                              |     Zend_Db_Adapter_Abstract                |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/application/modules/relatorioDemanda/models/RelatorioDemanda.php |     SQLSTATE[HY000]: General error                    
2              |     2011-08-18 16:16:10      |     326       |     fetchAll                              |     Zend_Db_Adapter_Abstract                |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/application/modules/relatorioDemanda/models/RelatorioDemanda.php |     SQLSTATE[HY000]: General error                    
2              |     2011-08-18 16:30:48      |     326       |     fetchAll                              |     Zend_Db_Adapter_Abstract                |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/application/modules/relatorioDemanda/models/RelatorioDemanda.php |     SQLSTATE[HY000]: General error                    
2              |     2011-08-18 16:32:54      |     326       |     fetchAll                              |     Zend_Db_Adapter_Abstract                |     /oasis/relatorioDemanda/media-nivel-de-servico/media-nivel-de-servico           |     /var/www/oasis/application/modules/relatorioDemanda/models/RelatorioDemanda.php |     SQLSTATE[HY000]: General error                    
