Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-11-01 08:28:43      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-11-01 15:32:35      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-11-01 15:34:24      |     9              |     s_projeto                                         |     projeto                                           |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto=260
2              |     2011-11-01 15:34:24      |     9              |     s_proposta                                        |     projeto                                           |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:34:42      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_projeto = 260 
2              |     2011-11-01 15:34:48      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_projeto = 260 
2              |     2011-11-01 15:35:06      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_projeto = 260 
2              |     2011-11-01 15:35:10      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:35:22      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:35:31      |     8              |     s_modulo                                          |     modulo                                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_modulo = 1808 cd_projeto = 260 
2              |     2011-11-01 15:35:36      |     8              |     a_proposta_modulo                                 |     modulo                                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_modulo = 1808 cd_proposta = 1 
2              |     2011-11-01 15:35:38      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:35:56      |     8              |     s_parcela                                         |     criar-parcela                                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_parcela = 1650 cd_projeto = 260 cd_proposta = 1 
2              |     2011-11-01 15:36:13      |     8              |     s_produto_parcela                                 |     produto-parcela                                   |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_produto_parcela = 13359 cd_proposta = 1 cd_projeto = 260 cd_parcela = 1644 
2              |     2011-11-01 15:36:24      |     8              |     s_produto_parcela                                 |     produto-parcela                                   |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_produto_parcela = 13360 cd_proposta = 1 cd_projeto = 260 cd_parcela = 1650 
2              |     2011-11-01 15:36:29      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:36:35      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:36:48      |     8              |     s_processamento_proposta                          |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_processamento_proposta = 746 cd_projeto = 260 cd_proposta = 1 
2              |     2011-11-01 15:36:48      |     9              |     s_processamento_parcela                           |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1 and cd_parcela = 1642 and st_ativo = 'S'
2              |     2011-11-01 15:36:48      |     9              |     s_proposta                                        |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 260 and cd_proposta = 1
2              |     2011-11-01 15:36:48      |     9              |     s_solicitacao                                     |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 14 and ni_solicitacao = 14 and ni_ano_solicitacao = 2011
2              |     2011-11-01 15:36:48      |     8              |     s_historico_proposta                              |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: dt_historico_proposta = 2011-11-01 15:36:48 cd_projeto = 260 cd_proposta = 1 
2              |     2011-11-01 15:36:48      |     8              |     s_historico_proposta_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 2 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 3 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 5 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 6 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 8 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 10 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 11 
2              |     2011-11-01 15:36:49      |     8              |     s_hist_prop_sub_item_metrica                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 260 cd_proposta = 1 dt_historico_proposta = 2011-11-01 15:36:48 cd_definicao_metrica = 2 cd_item_metrica = 2 cd_sub_item_metrica = 12 
2              |     2011-11-01 15:36:49      |     8              |     s_historico_proposta_parcela                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_proposta = 1 cd_projeto = 260 dt_historico_proposta = 2011-11-01 15:36:48 cd_historico_proposta_parcela = 1405 
2              |     2011-11-01 15:36:49      |     8              |     s_historico_proposta_produto                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_proposta_produto = 22775 dt_historico_proposta = 2011-11-01 15:36:48 cd_projeto = 260 cd_historico_proposta_parcela = 1405 
2              |     2011-11-01 15:36:49      |     8              |     s_historico_proposta_parcela                      |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_proposta = 1 cd_projeto = 260 dt_historico_proposta = 2011-11-01 15:36:48 cd_historico_proposta_parcela = 1406 
