Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-07-01 10:40:05      |     6              |     Sem tabela                                        |     auth                                              |     ::1                                                |     hudson-Vostro                                      |     Acesso ao sistema
2              |     2011-07-01 11:21:21      |     9              |     s_inventario                                      |     inventario                                        |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: "s_inventario"."cd_inventario" = 1.000000
2              |     2011-07-01 12:45:30      |     6              |     Sem tabela                                        |     auth                                              |     ::1                                                |     hudson-Vostro                                      |     Acesso ao sistema
2              |     2011-07-01 12:56:52      |     8              |     s_solicitacao                                     |     solicitacao-service-desk                          |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: ni_solicitacao = 8 ni_ano_solicitacao = 2011 cd_objeto = 2 
2              |     2011-07-01 12:57:36      |     6              |     Sem tabela                                        |     auth                                              |     ::1                                                |     hudson-Vostro                                      |     Acesso ao sistema
2              |     2011-07-01 12:57:54      |     9              |     s_solicitacao                                     |     solicitacao-tipo-demanda                          |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: cd_objeto = 2 and ni_solicitacao = 8 and ni_ano_solicitacao = 2011
2              |     2011-07-01 12:58:12      |     8              |     s_demanda                                         |     demanda                                           |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_demanda = 11391
2              |     2011-07-01 12:59:01      |     8              |     a_demanda_profissional                            |     demanda                                           |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_profissional = 2 cd_demanda = 11391 
2              |     2011-07-01 12:59:02      |     8              |     a_demanda_prof_nivel_servico                      |     demanda                                           |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_demanda = 11391 cd_profissional = 2 cd_nivel_servico = 10 
2              |     2011-07-01 12:59:07      |     9              |     a_demanda_prof_nivel_servico                      |     encaminhar-solicitacao-tipo-demanda               |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: cd_demanda = 11391 cd_profissional = 2 cd_nivel_servico = 10 
2              |     2011-07-01 12:59:07      |     9              |     a_demanda_profissional                            |     encaminhar-solicitacao-tipo-demanda               |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: cd_demanda = 11391 cd_profissional = 2 
2              |     2011-07-01 13:02:41      |     9              |     a_demanda_prof_nivel_servico                      |     demanda-executor-demanda                          |     ::1                                                |     hudson-Vostro                                      |     Alteração de Registro: cd_demanda = 11391 cd_profissional = 2 cd_nivel_servico = 10 
2              |     2011-07-01 13:03:58      |     8              |     s_historico_execucao_demanda                      |     demanda-executor-demanda                          |     ::1                                                |     hudson-Vostro                                      |     Inclusão de Registro: cd_historico_execucao_demanda = 12059
