Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-12-07 16:37:29      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-07 16:45:37      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-07 16:48:15      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-12 07:56:02      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-12 07:57:54      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-12 08:22:25      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-12 08:31:17      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2011-12-12 09:12:22      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  inserção ou atualização em tabela "s_processamento_parcela" viola restrição de chave estrangeira "fk_oasis_024" DETAIL:  Chave (cd_parcela,cd_projeto,cd_proposta)=(1,269,1) não está presente na tabela "s_parcela".
2              |     2011-12-12 09:23:41      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/projeto-legado/salvar-projeto-legado                                     |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  inserção ou atualização em tabela "s_processamento_parcela" viola restrição de chave estrangeira "fk_oasis_024" DETAIL:  Chave (cd_parcela,cd_projeto,cd_proposta)=(1,269,1) não está presente na tabela "s_parcela".
