Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2011-12-01 10:03:00      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-12-01 11:21:35      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-12-01 13:52:47      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-12-02 10:20:59      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2011-12-02 10:21:54      |     8              |     s_solicitacao                                     |     solicitacao                                       |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: ni_solicitacao = 25 ni_ano_solicitacao = 2011 cd_objeto = 14 
2              |     2011-12-02 10:22:07      |     9              |     s_solicitacao                                     |     gerenciar-projetos-solicitacao                    |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 14 and ni_solicitacao = 25 and ni_ano_solicitacao = 2011
2              |     2011-12-02 10:22:38      |     8              |     s_projeto                                         |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266
2              |     2011-12-02 10:22:38      |     8              |     a_contrato_projeto                                |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contrato = 14 cd_projeto = 266 
2              |     2011-12-02 10:22:38      |     8              |     s_proposta                                        |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_proposta = 1 cd_projeto = 266 
2              |     2011-12-02 10:22:38      |     8              |     s_parcela                                         |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_parcela = 1652 cd_projeto = 266 cd_proposta = 1 
2              |     2011-12-02 10:22:38      |     8              |     s_processamento_parcela                           |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_processamento_parcela = 1260 cd_proposta = 1 cd_projeto = 266 cd_parcela = 1652 
2              |     2011-12-02 10:22:38      |     8              |     s_produto_parcela                                 |     proposta                                          |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_produto_parcela = 13362 cd_proposta = 1 cd_projeto = 266 cd_parcela = 1652 
2              |     2011-12-02 10:23:19      |     9              |     s_projeto                                         |     projeto                                           |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto=266
2              |     2011-12-02 10:23:19      |     9              |     s_proposta                                        |     projeto                                           |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 266 and cd_proposta = 1
2              |     2011-12-02 10:23:29      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_projeto = 266 
2              |     2011-12-02 10:23:37      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 212 cd_projeto = 266 
2              |     2011-12-02 10:23:43      |     8              |     a_profissional_projeto                            |     associar-profissional-projeto                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 1 cd_projeto = 266 
2              |     2011-12-02 10:23:48      |     9              |     s_proposta                                        |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 266 and cd_proposta = 1
2              |     2011-12-02 10:24:06      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 2 
2              |     2011-12-02 10:24:06      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 3 
2              |     2011-12-02 10:24:06      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 5 
2              |     2011-12-02 10:24:07      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 6 
2              |     2011-12-02 10:24:07      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 8 
2              |     2011-12-02 10:24:07      |     8              |     a_proposta_sub_item_metrica                       |     elaboracao-proposta                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_projeto = 266 cd_proposta = 1 cd_item_metrica = 2 cd_definicao_metrica = 2 cd_sub_item_metrica = 10 
