Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2012-01-02 15:19:17      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:34:02      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:35:35      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:38:42      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:41:34      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:42:20      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:43:28      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:45:26      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:47:09      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 08:47:46      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/salvarPorMetrica                                  |     /var/www/oasis/public/index.php                                                 |     Action "salvarpormetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 14:32:39      |     13        |     runApp                                |     Bootstrap                               |     /oasis/custo-contrato-demanda/grid-custo-metrica                                |     /var/www/oasis/public/index.php                                                 |     Action "gridCustoMetrica" does not exist and was not trapped in __call()
2              |     2012-01-04 14:57:20      |     1366      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna s_custo_demanda_por_metrica.tx_sigla_projeto não existe LINE 1: SELECT "s_custo_demanda_por_metrica"."tx_sigla_projeto", "s_...                ^
2              |     2012-01-05 09:52:19      |     1366      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna s_custo_demanda_por_metrica.tx_sigla_projeto não existe LINE 1: SELECT "s_custo_demanda_por_metrica"."tx_sigla_projeto", "s_...                ^
2              |     2012-01-05 10:15:31      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42601]: Syntax error: 7 ERRO:  subconsulta deve retornar somente uma coluna LINE 1: ... FROM "oasis"."s_custo_demanda_por_metrica" WHERE (SELECT  p...                                                              ^
2              |     2012-01-05 10:52:09      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42601]: Syntax error: 7 ERRO:  subconsulta deve retornar somente uma coluna LINE 1: ... FROM "oasis"."s_custo_demanda_por_metrica" WHERE (SELECT  p...                                                              ^
2              |     2012-01-05 10:55:04      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42601]: Syntax error: 7 ERRO:  subconsulta deve retornar somente uma coluna LINE 1: ... FROM "oasis"."s_custo_demanda_por_metrica" WHERE (SELECT  p...                                                              ^
2              |     2012-01-05 11:24:19      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42601]: Syntax error: 7 ERRO:  identificador delimitado tem tamanho zero em ou próximo a """" LINE 1: ...td_unidade_metrica", "pr"."tx_sigla_projeto" FROM "" AS "cc"                                                              ^
2              |     2012-01-06 09:42:26      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[08P01]: <<Unknown error>>: 7 ERRO:  mensagem de ligação forneceu 0 parâmetros, mas comando preparado "pdo_stmt_0000000c" requer 3
2              |     2012-01-06 10:12:43      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[08P01]: <<Unknown error>>: 7 ERRO:  mensagem de ligação forneceu 0 parâmetros, mas comando preparado "pdo_stmt_0000000c" requer 1
2              |     2012-01-06 10:18:21      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/custo-contrato-demanda/grid-custo-contrato-metrica                       |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[08P01]: <<Unknown error>>: 7 ERRO:  mensagem de ligação forneceu 0 parâmetros, mas comando preparado "pdo_stmt_0000000c" requer 3
2              |     2012-01-12 10:22:43      |     1302      |     select                                |     Zend_Db_Table_Abstract                  |     /oasis/documento-origem/grid-documento-origem                                   |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     Primary key column(s) (cd_documento_origem) are not columns in this table ()
2              |     2012-01-13 10:54:59      |     85        |     dispatch                              |     Zend_Controller_Front                   |     /oasis/solicitacao                                                              |     /var/www/oasis/application/Bootstrap.php                                        |     Specified column "cd_documento_origem" is not in the row
               |     2012-01-13 15:58:07      |     289       |     dispatch                              |     Zend_Controller_Action                  |     /oasis/pedido/index/login                                                       |     /var/www/oasis/library/Zend/Controller/Dispatcher/Standard.php                  |     O Adapter do banco de dados não foi especificado 
               |     2012-01-13 16:00:16      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/pedido/index/cadastro                                                    |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna up.tx_email_institucional não existe LINE 1: ...suario", "up"."st_autoridade", "up"."st_inativo", "up"."tx_e...                                                              ^
               |     2012-01-13 16:01:17      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/pedido/index/cadastro                                                    |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna up.tx_email_institucional não existe LINE 1: ...suario", "up"."st_autoridade", "up"."st_inativo", "up"."tx_e...                                                              ^
2              |     2012-01-16 11:08:54      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/solicitacao                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  inserção ou atualização em tabela "s_solicitacao" viola restrição de chave estrangeira "fk_oasis_800" DETAIL:  Chave (cd_documento_origem)=(0) não está presente na tabela "s_documento_origem".
2              |     2012-01-16 14:16:30      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/solicitacao                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[23503]: Foreign key violation: 7 ERRO:  inserção ou atualização em tabela "s_solicitacao" viola restrição de chave estrangeira "fk_oasis_800" DETAIL:  Chave (cd_documento_origem)=(0) não está presente na tabela "s_documento_origem".
2              |     2012-01-16 14:23:04      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/solicitacao                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: "null"
2              |     2012-01-16 14:24:04      |     1051      |     insert                                |     Zend_Db_Adapter_Abstract                |     /oasis/solicitacao                                                              |     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[22P02]: Invalid text representation: 7 ERRO:  sintaxe de entrada é inválida para tipo numeric: ""
2              |     2012-01-18 09:43:52      |               |                                           |                                             |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|                                                                                     |     Invalid controller class ("Relatorioprojeto_ExtratoMensalDemandaController")
2              |     2012-01-18 14:36:10      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "DD.MM.YYYY" não existe LINE 1: ...ntrato", "parc"."nf_qtd_unidade_metrica", to_date("DD.MM.YYY...                                                              ^
2              |     2012-01-18 14:36:57      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "DD.MM.YYYY" não existe LINE 1: ...ntrato", "parc"."nf_qtd_unidade_metrica", to_char("DD.MM.YYY...                                                              ^
2              |     2012-01-18 14:37:18      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "ni_horas_parcela" não existe LINE 1: ...ntrato", "parc"."nf_qtd_unidade_metrica", to_char(ni_horas_p...                                                              ^
2              |     2012-01-18 14:37:44      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "DD.MM.YYYY" não existe LINE 1: ...rc"."nf_qtd_unidade_metrica", to_char(dt_registro,"DD.MM.YYY...                                                              ^
2              |     2012-01-18 14:38:05      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42703]: Undefined column: 7 ERRO:  coluna "DD.MM.YYYY" não existe LINE 1: ..."."cd_contrato", "parc"."nf_qtd_unidade_metrica", "DD.MM.YYY...                                                              ^
2              |     2012-01-18 14:38:29      |     1320      |     _fetch                                |     Zend_Db_Table_Abstract                  |     /oasis/relatorioProjeto/extrato-mensal-demanda/generate/mes/1/ano/2012/cd_contrato/15|     /var/www/oasis/library/Zend/Db/Table/Abstract.php                               |     SQLSTATE[42883]: Undefined function: 7 ERRO:  função to_char(date) não existe LINE 1: ...o", "parc"."nf_qtd_unidade_metrica", 'DD.MM.YYYY',to_char(dt...                                                              ^ HINT:  Nenhuma função corresponde com o nome e os tipos de argumentos informados. Você precisa adicionar conversões de tipo explícitas.
2              |     2012-01-18 15:59:54      |     954       |     dispatch                              |     Zend_Controller_Dispatcher_Standard     |     /oasis/inicio                                                                   |     /var/www/oasis/library/Zend/Controller/Front.php                                |     Method "__redirect" does not exist and was not trapped in __call()
